year,fertility_rate
2019,1.514
2018,1.525
2017,1.532
2016,1.537
2015,1.538
2014,1.538
2013,1.538
2012,1.538
2011,1.539
2010,1.542
2009,1.545
2008,1.549
2007,1.554
2006,1.56
2005,1.568
2004,1.58
2003,1.595
2002,1.616
2001,1.641
2000,1.671
1999,1.705
1998,1.742
1997,1.781
1996,1.823
1995,1.867
1994,1.911
1993,1.956
1992,2.003
1991,2.055
1990,2.113
1989,2.179
1988,2.256
1987,2.346
1986,2.451
1985,2.571
1984,2.707
1983,2.859
1982,3.024
1981,3.202
1980,3.392
1979,3.594
1978,3.808
1977,4.03
1976,4.257
1975,4.488
1974,4.721
1973,4.953
1972,5.181
1971,5.397
1970,5.595
1969,5.764
1968,5.903
1967,6.009
1966,6.084
1965,6.129
1964,6.151
1963,6.157
1962,6.155
1961,6.151
1960,6.147
